Time,Open,High,Low,Close,5MA,10MA,20MA,60MA,120MA,Volume,Dollar
2021-01-08,3040.11,3161.11,3040.11,3152.18,3017.42,2915.64,2838.7,2600.58,2467.15,1297903,1089.8
2021-01-11,3161.9,3266.23,3096.19,3148.45,3058.22,2954.5,2858.35,2613.38,2475.03,1712526,1097.3
2021-01-12,3145.87,3154.79,3047.56,3125.95,3085.29,2986.41,2877.33,2626.13,2482.89,1390618,1099.9
2021-01-13,3128.26,3164.37,3109.63,3148.29,3121.31,3020.38,2896.24,2639.57,2490.78,1578042,1095.1
2021-01-14,3148.65,3159.03,3128.72,3149.93,3144.96,3053.32,2915.63,2652.96,2498.71,1233183,1098
2021-01-15,3153.84,3189.9,3085.9,3085.9,3131.7,3074.56,2932.08,2665.09,2505.85,1331079,1099.4
2021-01-18,3079.9,3079.9,3003.89,3013.93,3104.8,3081.51,2944.19,2675.8,2512.4,1472049,1103.9
2021-01-19,3013.05,3107,3011.32,3092.66,3098.14,3091.72,2960.3,2688.1,2519.7,1353312,1102.9
2021-01-20,3115.04,3145.01,3077.15,3114.55,3091.39,3106.35,2977.42,2700.66,2527.32,1192695,1100.3
2021-01-21,3123.27,3163.21,3123.27,3160.84,3093.58,3119.27,2996.53,2714.28,2535.18,1360065,1098.2
2021-01-22,3163.83,3185.26,3140.6,3140.63,3104.52,3118.11,3016.87,2727.77,2542.54,1111223,1103.2
2021-01-25,3144.01,3212.22,3142.8,3208.99,3143.53,3124.17,3039.33,2742.17,2550.42,1093653,1100.7
2021-01-26,3203.96,3209.18,3132.67,3140.31,3153.06,3125.6,3056.01,2755.73,2557.7,873024,1106.5
2021-01-27,3143.46,3182.53,3118.89,3122.56,3154.67,3123.03,3071.7,2769.98,2564.97,924582,1104.4
2021-01-28,3114.98,3114.98,3046.64,3069.05,3136.31,3114.94,3084.13,2782.8,2571.79,1310455,1119.6
2021-01-29,3078.73,3100.22,2962.7,2976.21,3103.42,3103.97,3089.27,2793.35,2577.59,995071,1118.8
2021-02-01,2976.81,3056.87,2947.24,3056.53,3072.93,3108.23,3094.87,2805,2583.8,969262,1116.5
2021-02-02,3065.56,3138.95,3065.56,3096.81,3064.23,3108.65,3100.18,2816.38,2590.08,887314,1117.7
2021-02-03,3108.42,3142.26,3091.85,3129.68,3065.66,3110.16,3108.26,2828.27,2596.57,901789,1114.9
2021-02-04,3135.02,3135.02,3068.46,3087.55,3069.36,3102.83,3111.05,2838.94,2602.41,1460946,1118.5
2021-02-05,3098.49,3124.62,3081.78,3120.63,3098.24,3100.83,3109.47,2850.07,2608.26,1193487,1123.7
2021-02-08,3113.63,3128.54,3085.59,3091.24,3105.18,3089.06,3106.61,2860.16,2613.75,1277207,1119.6
2021-02-09,3102.25,3129.66,3084.67,3084.67,3102.75,3083.49,3104.55,2870.31,2619.14,2145388,1116.6
2021-02-10,3088.13,3111.88,3064.25,3100.58,3096.93,3081.3,3102.16,2880.43,2624.92,2152917,1107
2021-02-15,3108.7,3156.56,3108.7,3147,3108.82,3089.09,3102.02,2890.49,2631.58,1604653,1101.4
2021-02-16,3151.85,3180.94,3145.84,3163.25,3117.35,3107.79,3105.88,2900.89,2638.27,1944396,1100.1
2021-02-17,3162.95,3162.95,3115.48,3133.73,3125.85,3115.51,3111.87,2910.7,2645.43,1784127,1107.5
2021-02-18,3131.74,3140.4,3086.66,3086.66,3126.24,3114.5,3111.57,2919.68,2651.95,1860567,1107.6
2021-02-19,3089.96,3109.67,3040.28,3107.62,3127.65,3112.29,3111.23,2928.92,2658.43,3455505,1105.9
2021-02-22,3114.03,3142.48,3079.16,3079.75,3114.2,3111.51,3107.17,2936.87,2664.37,1831956,1110.4
2021-02-23,3069.26,3094.29,3035.46,3070.09,3095.57,3106.46,3103.65,2944.41,2670.21,2357759,1110.6
2021-02-24,3070.58,3092.05,2993.46,2994.98,3067.82,3096.83,3092.95,2950.97,2675.63,1560931,1112.2
2021-02-25,3026.47,3099.8,3026.47,3099.69,3070.43,3098.34,3090.91,2958.86,2681.85,1280086,1107.8
